method,round,n_seeds,test_acc_mean,test_acc_sd,test_loss_mean,test_loss_sd
FedRep,6,3,0.1637046081490526,0.03019320489348247,2.5814471626335447,0.26174584487766644
FedRep,7,3,0.1580066024510469,0.029430108257981185,2.4948439939100107,0.15064710734204637
FedRep,8,3,0.14991181657848324,0.0242627474221768,2.6004176202733404,0.11590916854917305
FedRep,9,3,0.17840184506851173,0.008579249357624413,2.51087295211907,0.045412868395963236
FedRep,10,3,0.19011441233663456,0.0231971719212269,2.4202130543042064,0.0705222545767712
FedRep,11,3,0.20648487315153982,0.017415623032425456,2.2723333536403008,0.10134228222023003
FedRep,12,3,0.23841179396734952,0.024600747230904375,2.1167109688343504,0.03070886819036249
FedRep,13,3,0.23999457332790666,0.03364618753403102,2.1340850167976795,0.036449611435110274
FedRep,14,3,0.27562972007416453,0.04673762361858423,2.1637349396140606,0.04615163372509651
FedRep,15,3,0.2808755030977253,0.012756527542372513,2.159926543389038,0.12004421327630954
FedRep,16,3,0.3187265409487632,0.0062086401819723865,2.0222640449389777,0.011784758499228436
FedRep,17,3,0.3361371139148917,0.036246232730727385,1.9333008248757229,0.13487956237391677
FedRep,18,3,0.38877583322027764,0.04283599168263909,1.8258260662248318,0.1485723908238326
FedRep,19,3,0.37643015420793197,0.029971413844356014,1.802941961642016,0.10823837682185138
FedRep,20,3,0.3728123728123728,0.00971131741591279,1.8252938833074803,0.0918693375240771
FedRep,21,3,0.36684303350970016,0.07718081880793141,1.771703043829246,0.05949642004834617
FedRep,22,3,0.3730384841495953,0.07371844091288447,1.76722869988121,0.07742366219436671
FedRep,23,3,0.38131415909193683,0.07203438784778128,1.8095914493033793,0.07398198515241439
FedRep,24,3,0.3995387328720662,0.07418741574092996,1.7722504845112028,0.12220191945764358
FedRep,25,3,0.38787138787138786,0.014533454609515228,1.8419601507617265,0.1141711963814805
FedRep,26,3,0.39727761949984175,0.034390218728410554,1.7210617771260843,0.15775763293176115
FedRep,27,3,0.38854972188305525,0.04629220871859696,1.8216772883947034,0.17055528677849532
FedRep,28,3,0.4013024013024013,0.04135701835942727,1.7776720390868208,0.11452788610490221
FedRep,29,3,0.4100755211866323,0.05460354251038406,1.6996838000086443,0.13840840812361768
FedRep,30,3,0.4100302989191878,0.06276262608781338,1.7315249087565296,0.17207548546869986
FedRep,31,3,0.4107990774657441,0.07236943351764319,1.7786349318770525,0.2166828575034621
FedRep,32,3,0.4102111879889658,0.07974742675055303,1.7579525521460435,0.23938073816675062
FedRep,33,3,0.4250893139782029,0.06979609797052866,1.7137352915728397,0.21767701493464514
FedRep,34,3,0.4620811287477954,0.06058263301160064,1.5824828211500923,0.22947806954641478
FedRep,35,3,0.4642970198525754,0.05061759726929735,1.5490782912380296,0.19792700397462015
FedRep,36,3,0.4888074888074888,0.03561427985727904,1.527062345131019,0.17012801171414002
FedRep,37,3,0.508026952471397,0.051168031408860955,1.495623828679653,0.18637599830252
FedRep,38,3,0.5202821869488536,0.05394627952117751,1.4614034241599507,0.20869276864583125
FedRep,39,3,0.5248496359607471,0.06288918483525872,1.4002812682135397,0.20310041327750206
FedRep,40,3,0.5418984307873197,0.08314519408940971,1.33064578885228,0.1911509795525301
FedRep,41,3,0.5269750825306381,0.08961799554107008,1.3643266661194953,0.20202387942685318
FedRep,42,3,0.5371500927056483,0.0944568683827308,1.3290321171766533,0.21477994428489658
FedRep,43,3,0.5280604169493058,0.09059559807946427,1.3751170699500421,0.2574954877488023
FedRep,44,3,0.5116447338669561,0.0791057679195549,1.4311800632515015,0.2565537110972856
FedRep,45,3,0.5124135124135124,0.07629204264062575,1.3583442168096411,0.16469471470814095
FedRep,46,3,0.5200560756116311,0.05380284941416121,1.3600376172823958,0.12462236050654388
FedRep,47,3,0.5232668566001899,0.04861284374265843,1.362809278461932,0.12373780165519443
FedRep,48,3,0.5324469768914213,0.06045875528453726,1.2910020237432935,0.16330706968794287
FedRep,49,3,0.5310903088680867,0.054689092506285564,1.2959882023230742,0.15488074933113644
FedRep+FixedPointReference,0,3,0.15090670646226204,0.014865474870067672,2.525187310458243,0.06859583298160489
FedRep+FixedPointReference,1,3,0.12811468367023923,0.00440516882804711,2.7496351446173533,0.08032458915815348
FedRep+FixedPointReference,2,3,0.12680323791434903,0.0453947553855478,2.5798058261622225,0.2592519827171002
FedRep+FixedPointReference,3,3,0.1343101343101343,0.03743740097972324,2.6303117281996897,0.22817394737910732
