seed,dimension,trial,clients,modulus_bits,max_abs_error,prepare_encryption_seconds,encryption_seconds,derive_key_seconds,prepare_decryption_seconds,decryption_seconds,payload_encode_seconds,round_seconds,ciphertext_payload_bytes,derived_key_payload_bytes
3,1,5,3,256,0,7.71000000003852e-05,4.600000000465343e-06,1.000000000139778e-06,7.380000000001274e-05,2.2199999999195086e-05,2.9999999995311555e-06,0.00018440000000019552,192,4
3,1,6,3,256,0,7.590000000057273e-05,4.699999999857596e-06,8.999999998593466e-07,7.520000000038607e-05,2.2400000000644127e-05,3.099999999811587e-06,0.0001847999999995409,192,4
4,1,0,3,256,0,0.00011350000000032168,5.100000000091143e-06,1.1999999998124622e-06,7.170000000034094e-05,2.2300000000363696e-05,3.299999999484271e-06,0.0002203000000005062,192,4
4,1,1,3,256,0,0.00011429999999990059,4.5999999995771645e-06,1.1999999998124622e-06,7.500000000071338e-05,2.1799999999849717e-05,3.3999999997647024e-06,0.0002230999999994765,192,4
4,1,2,3,256,0,0.0001176999999996653,4.600000000465343e-06,1.000000000139778e-06,7.7600000000011e-05,2.190000000013015e-05,3.099999999811587e-06,0.00022850000000040893,192,4
4,1,3,3,256,0,0.00011269999999985458,4.39999999990448e-06,1.000000000139778e-06,7.230000000024717e-05,2.1600000000177033e-05,3.099999999811587e-06,0.00021770000000032041,192,4
4,1,4,3,256,0,0.0001217000000002244,4.500000000184912e-06,1.000000000139778e-06,8.09999999997757e-05,2.190000000013015e-05,2.9000000001389026e-06,0.00023559999999989145,192,4
4,1,5,3,256,0,0.00011760000000027304,4.699999999857596e-06,1.0999999995320309e-06,7.709999999949702e-05,2.2200000000083264e-05,3.299999999484271e-06,0.00022919999999970742,192,4
4,1,6,3,256,0,0.0001167000000004137,4.699999999857596e-06,1.000000000139778e-06,7.529999999977832e-05,2.1799999999849717e-05,3.099999999811587e-06,0.00022539999999970917,192,4
0,8,0,3,256,0,0.00018260000000047683,2.8200000000033754e-05,1.0999999995320309e-06,7.359999999945188e-05,0.0001876999999996798,8.79999999980896e-06,0.0004911999999999139,1536,3
0,8,1,3,256,0,0.00018630000000019464,2.7900000000080638e-05,1.0999999995320309e-06,7.49999999998252e-05,0.00018920000000033355,8.500000000744024e-06,0.0004965999999999582,1536,3
0,8,2,3,256,0,0.000222400000000178,3.030000000059374e-05,1.8000000006068717e-06,8.63000000004277e-05,0.0001910999999994445,1.1200000000322063e-05,0.0005539999999992773,1536,3
0,8,3,3,256,0,0.00018510000000038218,2.8599999999379122e-05,1.4000000003733248e-06,7.700000000010476e-05,0.00019239999999953739,9.29999999943476e-06,0.0005025000000005164,1536,3
0,8,4,3,256,0,0.00018629999999930646,2.9999999999752447e-05,1.8999999999991246e-06,7.540000000005875e-05,0.00024479999999993396,1.1499999999387e-05,0.0005610000000002557,1536,3
0,8,5,3,256,0,0.00021769999999943224,4.05999999992801e-05,2.19999999995224e-06,8.200000000080365e-05,0.00018899999999977268,1.0300000000462717e-05,0.0005520999999992782,1536,3
0,8,6,3,256,0,0.0001808999999992622,2.8300000000314185e-05,1.3000000000928935e-06,7.390000000029318e-05,0.00019110000000033267,8.399999999575414e-06,0.0004929000000002404,1536,3
1,8,0,3,256,0,0.00014039999999937436,2.9500000000126647e-05,1.4000000003733248e-06,7.680000000043208e-05,0.000175200000000153,9.40000000060337e-06,0.00044199999999960937,1536,4
1,8,1,3,256,0,0.00013090000000026691,2.8300000000314185e-05,1.1999999998124622e-06,7.640000000019853e-05,0.00017430000000029366,8.900000000089392e-06,0.0004287000000005037,1536,4
1,8,2,3,256,0,0.00012740000000022178,2.8099999999753322e-05,1.1999999998124622e-06,7.299999999954565e-05,0.00017970000000033792,8.79999999980896e-06,0.0004268999999998968,1536,4
1,8,3,3,256,0,0.00013099999999965917,2.799999999947289e-05,1.2000000007006406e-06,7.570000000001187e-05,0.00017710000000015214,8.79999999980896e-06,0.00043039999999994194,1536,4
1,8,4,3,256,0,0.00012759999999989446,2.8200000000033754e-05,1.000000000139778e-06,7.299999999954565e-05,0.00017870000000019814,9.099999999762076e-06,0.000426400000000271,1536,4
1,8,5,3,256,0,0.00013250000000031292,2.7799999999800207e-05,1.0999999995320309e-06,9.350000000019065e-05,0.00025450000000049045,1.8499999999477268e-05,0.0005419999999993763,1536,4
1,8,6,3,256,0,0.0001863999999995869,2.9800000000079763e-05,1.699999999438262e-06,8.470000000038169e-05,0.00020569999999953126,1.639999999980546e-05,0.0005390999999992374,1536,4
2,8,0,3,256,0,0.00022130000000064598,3.080000000021954e-05,1.600000000046009e-06,3.720000000040358e-05,0.0001917000000002389,9.599999999387876e-06,0.0005012999999998158,1536,4
2,8,1,3,256,0,0.00022619999999928808,2.9899999999472016e-05,1.1000000004202093e-06,3.750000000035669e-05,0.00018890000000038043,8.900000000089392e-06,0.0005015999999997689,1536,4
2,8,2,3,256,0,0.00022219999999961715,3.0399999999985994e-05,1.3000000000928935e-06,3.530000000040445e-05,0.00018820000000019377,8.600000000136276e-06,0.0004946999999999591,1536,4
2,8,3,3,256,0,0.00022449999999984982,2.9299999999565784e-05,1.1000000004202093e-06,3.580000000003025e-05,0.00019390000000019114,8.79999999980896e-06,0.0005020000000000024,1536,4
2,8,4,3,256,0,0.0002145000000002284,2.9399999999846216e-05,1.1999999998124622e-06,3.500000000045134e-05,0.00018760000000028754,8.700000000416708e-06,0.0004849000000000103,1536,4
2,8,5,3,256,0,0.00020769999999981081,2.9000000000500847e-05,9.999999992515995e-07,3.4799999999890474e-05,0.00018739999999972667,8.600000000136276e-06,0.00047709999999945296,1536,4
2,8,6,3,256,0,0.00021350000000008862,2.9399999999846216e-05,1.1000000004202093e-06,3.5400000000684884e-05,0.00018580000000056884,8.500000000744024e-06,0.00048259999999977765,1536,4
3,8,0,3,256,0,0.00012839999999947338,3.0399999999985994e-05,1.3000000000928935e-06,7.579999999940412e-05,0.0002484999999996518,1.3400000000274304e-05,0.0005107999999998114,1536,4
3,8,1,3,256,0,0.0001449999999998397,3.2599999999938234e-05,1.600000000046009e-06,0.00010140000000014027,0.0002466999999999331,1.2799999999479894e-05,0.0005535999999999319,1536,4
3,8,2,3,256,0,0.00018109999999982307,3.859999999988872e-05,1.8999999999991246e-06,0.00011650000000074101,0.0002501999999999782,1.4900000000039881e-05,0.0006161999999996226,1536,4
