seed,dimension,trial,clients,modulus_bits,max_abs_error,prepare_encryption_seconds,encryption_seconds,derive_key_seconds,prepare_decryption_seconds,decryption_seconds,payload_encode_seconds,round_seconds,ciphertext_payload_bytes,derived_key_payload_bytes
3,32,1,3,256,0,0.0001862000000008024,0.00010460000000023228,1.4000000003733248e-06,3.410000000059199e-05,0.000677099999999875,2.529999999989485e-05,0.0010556999999993266,6144,4
3,32,2,3,256,0,0.00017599999999973193,0.0001066999999999041,1.3000000000928935e-06,3.349999999979758e-05,0.000673399999999269,2.5899999999801082e-05,0.0010447000000004536,6144,4
3,32,3,3,256,0,0.00018320000000038306,0.00010429999999939099,1.1999999998124622e-06,3.439999999965693e-05,0.0006763000000002961,2.6199999999754198e-05,0.0010529999999997486,6144,4
3,32,4,3,256,0,0.00017889999999987083,0.00010479999999990497,1.0999999995320309e-06,3.360000000007801e-05,0.0006775000000001086,2.530000000078303e-05,0.0010487000000001245,6144,4
3,32,5,3,256,0,0.0001812000000001035,0.00010560000000037206,1.1999999998124622e-06,3.3699999999470265e-05,0.0006833999999997786,2.529999999989485e-05,0.0010579999999995593,6144,4
3,32,6,3,256,0,0.0001728000000005281,0.0001020000000000465,1.3000000000928935e-06,3.4299999999376496e-05,0.0006789999999998741,2.4999999999941735e-05,0.001041300000000689,6144,4
4,32,0,3,256,0,0.00017759999999977794,0.00010859999999990322,1.3000000000928935e-06,3.269999999933049e-05,0.0007182999999999495,2.5000000000829914e-05,0.0010909000000003388,6144,4
4,32,1,3,256,0,0.00017949999999977706,0.00010859999999990322,1.0999999995320309e-06,3.189999999975157e-05,0.0008257000000000403,3.180000000035932e-05,0.001209900000000097,6144,4
4,32,2,3,256,0,0.00018079999999986995,0.00010979999999971568,1.600000000046009e-06,3.190000000063975e-05,0.0007227000000007422,2.6700000000268176e-05,0.001101600000000147,6144,4
4,32,3,3,256,0,0.0001774999999994975,0.00010859999999990322,1.1999999998124622e-06,3.289999999989135e-05,0.0007263999999995718,2.4999999999941735e-05,0.0010988999999996807,6144,4
4,32,4,3,256,0,0.0001753999999998257,0.00010679999999929635,1.1999999998124622e-06,3.180000000035932e-05,0.0007229999999998071,2.5500000000455714e-05,0.0010918999999995904,6144,4
4,32,5,3,256,0,0.0001686000000002963,0.00010649999999934323,1.1999999998124622e-06,3.1599999999798456e-05,0.0007269999999994781,2.519999999961442e-05,0.0010873000000000133,6144,4
4,32,6,3,256,0,0.0001760000000006201,0.0001049000000001854,1.0999999995320309e-06,3.189999999975157e-05,0.0007172000000004175,2.459999999970819e-05,0.0010824999999998752,6144,4
